Fecha,Confirmados,Activos,Recuperados,Fallecidos
26/06/2021,291595,20374,262171,9050
27/06/2021,291977,19863,263025,9089
28/06/2021,292674,19101,264426,9147
29/06/2021,293583,20199,264426,9215
30/06/2021,296438,21804,265352,9282
01/07/2021,298904,22952,266602,9350
02/07/2021,301189,23870,267900,9419
03/07/2021,302012,23532,269019,9461
04/07/2021,302534,23128,269908,9498
05/07/2021,305319,24209,271562,9548
06/07/2021,308273,25518,273182,9573
07/07/2021,311342,27036,274697,9609
08/07/2021,314302,28387,276272,9643
09/07/2021,317311,29631,277992,9688
10/07/2021,318541,29457,279371,9713
11/07/2021,319157,28513,280923,9721
12/07/2021,322120,29453,282911,9756
13/07/2021,325024,30613,284613,9798
14/07/2021,327755,31720,286201,9834
15/07/2021,330651,32662,288118,9871
16/07/2021,333126,33115,290113,9898
17/07/2021,333827,32129,291784,9914
18/07/2021,334375,31240,293208,9927
19/07/2021,334375,31240,293208,9927
20/07/2021,340857,33466,297386,10005
21/07/2021,344221,34440,299752,10029
22/07/2021,347496,34992,302441,10063
23/07/2021,350816,35720,305003,10093
24/07/2021,352088,34846,307142,10100
25/07/2021,352584,33564,308908,10112
26/07/2021,355223,33219,311828,10176
27/07/2021,358798,34135,314439,10224
28/07/2021,362134,34955,316931,10248
29/07/2021,365528,35916,319323,10289
30/07/2021,368484,36313,321832,10339
31/07/2021,369626,34881,324332,10413
01/08/2021,370258,33806,326004,10448
02/08/2021,373047,33799,328765,10483
03/08/2021,377446,35548,331374,10524
04/08/2021,381514,36978,333958,10578
05/08/2021,385512,38424,336444,10644
06/08/2021,389510,39709,339087,10714
07/08/2021,390514,38428,341314,10771
08/08/2021,391118,37118,343189,10808
09/08/2021,394372,37227,346297,10845
10/08/2021,398990,38684,349405,10898
11/08/2021,403348,40389,351996,10960
12/08/2021,407564,41956,354599,11006
13/08/2021,411731,43357,357286,11085
14/08/2021,413040,42518,359364,11155
15/08/2021,413797,41278,361327,11189
16/08/2021,417620,41865,364533,11219
17/08/2021,422270,43566,367428,11273
18/08/2021,428096,46572,370182,11339
19/08/2021,433339,49036,372928,11372
20/08/2021,437919,50975,375491,11450
21/08/2021,439253,50196,377554,11500
22/08/2021,440007,48653,379835,11516
23/08/2021,444924,49539,383830,11552
24/08/2021,450150,51155,387377,11615
25/08/2021,455263,53371,390195,11694
26/08/2021,460017,54324,393921,11768
27/08/2021,463753,54375,397556,11818
28/08/2021,465059,52819,400378,11858
29/08/2021,465799,50871,403038,11886
30/08/2021,470277,50513,407834,11926
31/08/2021,475548,50839,412698,12007
01/09/2021,479376,51093,416180,12098
02/09/2021,484263,52467,419636,12155
03/09/2021,486819,51516,423094,12203
